"","plot","div","cresc.altura_mean","cresc.nfol_mean","cresc.LA_mean","cresc.biomassa_mean","cresc.altura_sd","cresc.nfol_sd","cresc.LA_sd","cresc.biomassa_sd"
"82","88","2",0.311111111111111,360,1380409.24284156,75.3606667866667,0.491491711592477,411.532127916755,1566292.5082326,85.5636953820463
"83","89","2",0.0473913043478261,80.1739130434783,490785.457403478,21.5092174034783,0.157832402229947,81.3693331633401,454942.538657959,22.4904484440232
"84","90","1",0.305,19.1111111111111,167798.868141778,11.5558518582222,0.365340292620133,23.6690139681023,207818.045261136,14.3118637872689
"85","91","2",-0.145625,28.3125,151125.9525,7.8988125,0.234889158256967,51.9008269041384,278783.398182878,14.4068485344934
"86","92","2",0.0169565217391304,-25.8695652173913,-29848.6695652174,-1.56921739130435,0.152029745373269,111.860832509875,133888.027570729,6.95214815040203
"87","93","1",-0.0275,2.41666666666667,21164.1033333333,0.792666666666667,0.229086085964662,2.9915339480472,26198.5380420602,0.98122313495948
"88","94","4",-0.0818181818181819,68,85366.940004,4.39272727272727,0.324370719449773,160.041244683988,207551.333208224,10.7680364513769
"89","95","16",0.173333333333333,37.8888888888889,121978.761486444,4.611429632,0.163018403869011,52.3150180264818,149417.337967855,5.49055983582514
"90","96","2",0.0825,8.4375,30968.447502375,1.802625,0.515396287659635,21.6578507705635,71487.4298543198,4.26234825536347
"91","97","4",-0.155,-0.666666666666667,10975.22111075,0.277722223,0.465764279047206,17.6240194225398,101298.638999675,3.84787270471052
"92","98","1",0.345,50.5333333333333,292662.789333333,11.0836444276,0.342392696506058,114.155892603457,661131.568895068,25.0381924063062
"93","99","1",0.0795652173913043,333.826086956522,397907.342608696,20.6972173913043,0.358030956773161,202.520179056066,241395.952627669,12.5562511014761
"94","100","1",0.645,816.045454545455,3118104.24124314,170.2814851205,0.603937477054104,624.186897931848,2385013.97554354,130.246999576508
"95","101","1",0.277058823529412,60.7647058823529,427193.301588882,15.5962745300588,0.1858011270782,29.7836561971593,209387.641057401,7.64447176719878
"96","102","1",0.206666666666667,4.33333333333333,31539.3866666667,0.953333333333333,0.45891538798926,41.1707825202938,299654.129833105,9.05757215446465
"97","103","1",-0.00450000000000001,-1.3,-6969.534,-0.3614,0.760134856456405,63.9647106655405,342926.327525883,17.7821895650203
"98","104","1",0.268928571428571,13.2857142857143,15474.4028571429,1.68197142857143,0.326455025383105,20.4502234758362,23819.1932912454,2.58899829204086
"99","105","1",0.0141666666666667,1.16666666666667,1776.65444483333,0.110444444833333,0.106195744885961,23.2148128623059,35352.6003923913,2.19766895870323
"100","106","1",-0.155555555555556,-0.777777777777778,-6811.43555555555,-0.255111111111111,0.281345971280123,4.00816160815955,35101.7157731538,1.31467700747633
"101","107","2",0.1825,-0.375,-2364.58583333333,-0.0861138887500006,0.420509525301824,163.733827611608,947888.023796052,35.902468734799
"102","108","16",0.0352,95.56,382490.26050116,21.16770135912,0.418161850643185,418.010574028935,1578867.94137392,85.3429494318077
"103","109","2",0.227777777777778,12.8888888888889,23772.8211111111,1.80956666666667,0.397987995352177,20.8353332373425,36443.4819981936,2.710960015382
"104","110","2",-0.0280769230769231,31.1153846153846,75866.3128308846,3.93346154046154,0.3236172953446,42.847008691928,92667.2445476775,4.95259641935717
