plot,div,especie,sci_sp,abrev,comp
112,16,feijao,Cynophala hastata,CynoHas,ccc
112,16,imbira,Pseudobombax marginatum,PseuMar,ccc
112,16,imburana,Commiphora leptophloeos,ComLepto,ccc
112,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
112,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
112,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
112,16,juca,Libidibia ferrea,LibFerr,ccc
112,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
112,16,mofumbu,Combretum leprosum,CombLepr,ccc
112,16,mororo,Bauhinha cheilanta,BauChei,ccc
112,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
115,16,angico,Anandenanthera colubrina,AnanCol,ccc
115,16,burra,Sebastiania macrocarpa,SebMac,ccc
115,16,feijao,Cynophala hastata,CynoHas,ccc
115,16,imbira,Pseudobombax marginatum,PseuMar,ccc
115,16,imburana,Commiphora leptophloeos,ComLepto,ccc
115,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
115,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
115,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
115,16,juca,Libidibia ferrea,LibFerr,ccc
115,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
115,16,mofumbu,Combretum leprosum,CombLepr,ccc
115,16,mororo,Bauhinha cheilanta,BauChei,ccc
115,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
130,16,algodao,Cochlospermum vitifolium,CochVit,ccc
130,16,angico,Anandenanthera colubrina,AnanCol,ccc
130,16,burra,Sebastiania macrocarpa,SebMac,ccc
130,16,cumaru,Amburana cearensis,AmbCear,ccc
130,16,imbira,Pseudobombax marginatum,PseuMar,ccc
130,16,imburana,Commiphora leptophloeos,ComLepto,ccc
130,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
130,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
130,16,juca,Libidibia ferrea,LibFerr,ccc
130,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
130,16,mofumbu,Combretum leprosum,CombLepr,ccc
130,16,mororo,Bauhinha cheilanta,BauChei,ccc
130,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
149,16,algodao,Cochlospermum vitifolium,CochVit,ccc
149,16,cating,Poincianella gardneriana,Poingard,ccc
149,16,imbira,Pseudobombax marginatum,PseuMar,ccc
149,16,imburana,Commiphora leptophloeos,ComLepto,ccc
149,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
149,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
149,16,juca,Libidibia ferrea,LibFerr,ccc
149,16,mofumbu,Combretum leprosum,CombLepr,ccc
149,16,mororo,Bauhinha cheilanta,BauChei,ccc
149,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
153,16,algodao,Cochlospermum vitifolium,CochVit,ccc
153,16,angico,Anandenanthera colubrina,AnanCol,ccc
153,16,burra,Sebastiania macrocarpa,SebMac,ccc
153,16,cating,Poincianella gardneriana,Poingard,ccc
153,16,cumaru,Amburana cearensis,AmbCear,ccc
153,16,feijao,Cynophala hastata,CynoHas,ccc
153,16,imbira,Pseudobombax marginatum,PseuMar,ccc
153,16,imburana,Commiphora leptophloeos,ComLepto,ccc
153,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
153,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
153,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
153,16,juca,Libidibia ferrea,LibFerr,ccc
153,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
153,16,mororo,Bauhinha cheilanta,BauChei,ccc
153,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
